Created on 08-17-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
1535068800.0,2018-08-24,LTCUSD,57.31,58.36,55.55,57.94,107550.66,6155679.55
1534982400.0,2018-08-23,LTCUSD,55.2,57.91,55.01,57.31,110150.08,6173435.79
1534896000.0,2018-08-22,LTCUSD,56.39,59.21,54.01,55.2,241691.56,13671137.49
1534809600.0,2018-08-21,LTCUSD,53.39,56.78,53.15,56.39,120180.33,6633591.04
1534723200.0,2018-08-20,LTCUSD,57.85,58.55,53.19,53.39,281442.44,15625693.19
1534636800.0,2018-08-19,LTCUSD,57.38,58.98,56.4,57.85,95035.25,5473582.67
1534550400.0,2018-08-18,LTCUSD,61.82,62.6,55.66,57.38,156573.54,9189553.55
1534464000.0,2018-08-17,LTCUSD,55.47,61.88,55.16,61.82,236829.39,13884443.95
1534377600.0,2018-08-16,LTCUSD,54.44,57.68,54.13,55.47,155751.16,8690581.51
1534291200.0,2018-08-15,LTCUSD,54.39,59.44,54,54.44,476898.24,26713168.41
1534204800.0,2018-08-14,LTCUSD,56.48,56.49,49.33,54.39,431418.42,22435681.77
1534118400.0,2018-08-13,LTCUSD,59.44,60.6,55.72,56.48,172704.56,9951473.76
1534032000.0,2018-08-12,LTCUSD,55.75,55.75,55.75,55.75,0.0,0.0
1533945600.0,2018-08-11,LTCUSD,59.14,59.19,55.13,55.75,116332.65,6600948.84
1533859200.0,2018-08-10,LTCUSD,63.08,63.36,58.1,59.14,211656.48,12923401.02
1533772800.0,2018-08-09,LTCUSD,62.27,65.14,60.25,63.08,205859.39,12959885.79
1533686400.0,2018-08-08,LTCUSD,67.36,67.49,61.01,62.27,410758.15,26376108.87
1533600000.0,2018-08-07,LTCUSD,73.58,75.05,66.6,67.36,203968.15,14392252.79
1533513600.0,2018-08-06,LTCUSD,74.65,76.84,72.51,73.58,100217.62,7436281.4
1533427200.0,2018-08-05,LTCUSD,73.04,74.71,72.41,74.65,70573.0,5201606.17
1533340800.0,2018-08-04,LTCUSD,77.6,78,72.32,73.04,114293.39,8551761.27
1533254400.0,2018-08-03,LTCUSD,76.23,77.8,75,77.6,117975.96,8975921.38
1533168000.0,2018-08-02,LTCUSD,77.64,78.39,75.51,76.23,101026.44,7748435.75
1533081600.0,2018-08-01,LTCUSD,78.86,79.07,75.97,77.64,131259.72,10149354.3
1532995200.0,2018-07-31,LTCUSD,82.22,82.43,76.01,78.86,169892.45,13341990.38
1532908800.0,2018-07-30,LTCUSD,83.93,84.7,79.76,82.22,123817.34,10178434.96
1532822400.0,2018-07-29,LTCUSD,83.99,85.25,83.41,83.93,47509.2,3993395.82
