Created on 08-17-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USD
1578873600.0,2020-01-13,XRPUSD,0.2151,0.2155,0.2098,0.2114,3890152.61,823457.24
1578787200.0,2020-01-12,XRPUSD,0.2115,0.2168,0.2096,0.2151,7022365.25,1498883.53
1578700800.0,2020-01-11,XRPUSD,0.2127,0.2198,0.2086,0.2115,15383449.3,3289758.4
1578614400.0,2020-01-10,XRPUSD,0.2038,0.213,0.2002,0.2127,12201619.28,2529189.9
1578528000.0,2020-01-09,XRPUSD,0.2074,0.2087,0.2014,0.2038,7754164.26,1581298.01
1578441600.0,2020-01-08,XRPUSD,0.214,0.2188,0.2031,0.2074,17160595.33,3608079.17
1578355200.0,2020-01-07,XRPUSD,0.2233,0.2254,0.2074,0.214,20843885.36,4475142.1
1578268800.0,2020-01-06,XRPUSD,0.1944,0.2236,0.1941,0.2233,29594423.65,6307846.63
1578182400.0,2020-01-05,XRPUSD,0.1927,0.1975,0.1927,0.1944,6377897.32,1245119.45
1578096000.0,2020-01-04,XRPUSD,0.1929,0.1933,0.1911,0.1927,2771033.95,532515.36
1578009600.0,2020-01-03,XRPUSD,0.1868,0.194,0.1841,0.1929,9088159.84,1733557.19
1577923200.0,2020-01-02,XRPUSD,0.1925,0.1928,0.1851,0.1868,13717065.98,2591908.28
1577836800.0,2020-01-01,XRPUSD,0.1924,0.1943,0.1917,0.1925,6095751.13,1178384.31
1577750400.0,2019-12-31,XRPUSD,0.1927,0.1937,0.1881,0.1926,12653896.83,2415080.38
1577664000.0,2019-12-30,XRPUSD,0.1966,0.1975,0.1907,0.1927,11701264.93,2262865.9
1577577600.0,2019-12-29,XRPUSD,0.1927,0.1982,0.1908,0.1966,4826239.98,940683.92
1577491200.0,2019-12-28,XRPUSD,0.1898,0.1942,0.1896,0.1927,5698173.36,1095904.54
1577404800.0,2019-12-27,XRPUSD,0.1891,0.1898,0.1846,0.1898,4587629.83,862068.87
1577318400.0,2019-12-26,XRPUSD,0.1883,0.1939,0.1869,0.1891,6425001.08,1217585.43
1577232000.0,2019-12-25,XRPUSD,0.1904,0.1909,0.1862,0.1883,6037417.23,1136054.95
1577145600.0,2019-12-24,XRPUSD,0.1895,0.1935,0.1874,0.1904,5716463.16,1089944.2
